book,chunk_id,dom_dim,coverage,v_roll,a_roll,d_roll,vad_fused,diff_abs,diff_signed,text,prev_chunk_id,prev_text,next_chunk_id,next_text,roll_win
Frankenstein.clean,239,A,0.703704,0.1139714,-0.0748532,0.07738439999999999,0.1567827379897417,0.04281133798974171,0.04281133798974171,"entered shortly after. This professor was very unlike his colleague. He appeared about fifty years of age, but with an aspect expressive of the greatest benevolence; a few grey hairs covered his temples, but those at the back of his head were nearly black. His person was short but remarkably erect and his voice the sweetest I had ever heard. He began his lecture by a recapitulation of the history of chemistry and the various improvements made by different men of learning, pronouncing with fervour the names of the most distinguished discoverers. He then took a cursory view of the present state of the science and explained many of its elementary terms.",238,"and hear that little conceited fellow deliver sentences out of a pulpit, I recollected what he had said of M. Waldman, whom I had never seen, as he had hitherto been out of town. Partly from curiosity and partly from idleness, I went into the lecturing room, which M. Waldman entered shortly after. This professor was…",240,"his voice the sweetest I had ever heard. He began his lecture by a recapitulation of the history of chemistry and the various improvements made by different men of learning, pronouncing with fervour the names of the most distinguished discoverers. He then took a cursory view of the present state of the science and…",15
Frankenstein.clean,285,D,0.672897,0.11911873333333332,-0.03682626666666667,0.10966273333333332,0.1660462635221883,0.04692753018885497,0.04692753018885497,"I found so astonishing a power placed within my hands, I hesitated a long time concerning the manner in which I should employ it. Although I possessed the capacity of bestowing animation, yet to prepare a frame for the reception of it, with all its intricacies of fibres, muscles, and veins, still remained a work of inconceivable difficulty and labour. I doubted at first whether I should attempt the creation of a being like myself, or one of simpler organization; but my imagination was too much exalted by my first success to permit me to doubt of my ability to give life to an animal as complex and wonderful as man.",284,"how dangerous is the acquirement of knowledge and how much happier that man is who believes his native town to be the world, than he who aspires to become greater than his nature will allow. When I found so astonishing a power placed within my hands, I hesitated a long time concerning the manner in which I should…",286,"still remained a work of inconceivable difficulty and labour. I doubted at first whether I should attempt the creation of a being like myself, or one of simpler organization; but my imagination was too much exalted by my first success to permit me to doubt of my ability to give life to an animal as complex and…",15
Frankenstein.clean,513,V,0.590909,0.017025533333333336,-0.056211,-0.003546133333333333,0.05883978558681381,0.041814252253480476,0.041814252253480476,"permission of Elizabeth, she had passed the evening of the night on which the murder had been committed at the house of an aunt at Chêne, a village situated at about a league from Geneva. On her return, at about nine o'clock, she met a man who asked her if she had seen anything of the child who was lost. She was alarmed by this account and passed several hours in looking for him, when the gates of Geneva were shut, and she was forced to remain several hours of the night in a barn belonging to a cottage, being unwilling to call up the inhabitants, to whom she was well known.",512,"I have always borne will incline my judges to a favourable interpretation where any circumstance appears doubtful or suspicious."" She then related that, by the permission of Elizabeth, she had passed the evening of the night on which the murder had been committed at the house of an aunt at Chêne, a village situated at…",514,"seen anything of the child who was lost. She was alarmed by this account and passed several hours in looking for him, when the gates of Geneva were shut, and she was forced to remain several hours of the night in a barn belonging to a cottage, being unwilling to call up the inhabitants, to whom she was well known.…",15
Frankenstein.clean,664,D,0.721649,0.05461973333333334,-0.07668806666666668,-0.019404666666666667,0.09612968286081049,0.04150994952747715,0.04150994952747715,"I had covered myself with some clothes, but these were insufficient to secure me from the dews of night. I was a poor, helpless, miserable wretch; I knew, and could distinguish, nothing; but feeling pain invade me on all sides, I sat down and wept. ""Soon a gentle light stole over the heavens and gave me a sensation of pleasure. I started up and beheld a radiant form rise from among the trees. [The moon] I gazed with a kind of wonder. It moved slowly, but it enlightened my path, and I again went out in search of berries.",663,"brook, and then lying down, was overcome by sleep. ""It was dark when I awoke; I felt cold also, and half frightened, as it were, instinctively, finding myself so desolate. Before I had quitted your apartment, on a sensation of cold, I had covered myself with some clothes, but these were insufficient to secure me from…",665,"sides, I sat down and wept. ""Soon a gentle light stole over the heavens and gave me a sensation of pleasure. I started up and beheld a radiant form rise from among the trees. [The moon] I gazed with a kind of wonder. It moved slowly, but it enlightened my path, and I again went out in search of berries. I was still…",15
Frankenstein.clean,697,A,0.752475,0.07231286666666666,-0.1372642,-0.0420524,0.1607451885219309,0.08843232185526424,0.08843232185526424,"raised, so that it was kept perfectly dry, and by its vicinity to the chimney of the cottage it was tolerably warm. ""Being thus provided, I resolved to reside in this hovel until something should occur which might alter my determination. It was indeed a paradise compared to the bleak forest, my former residence, the rain-dropping branches, and dank earth. I ate my breakfast with pleasure and was about to remove a plank to procure myself a little water when I heard a step, and looking through a small chink, I beheld a young creature, with a pail on her head, passing before my hovel.",696,"conveniently than from my hand of the pure water which flowed by my retreat. The floor was a little raised, so that it was kept perfectly dry, and by its vicinity to the chimney of the cottage it was tolerably warm. ""Being thus provided, I resolved to reside in this hovel until something should occur which might alter…",698,"paradise compared to the bleak forest, my former residence, the rain-dropping branches, and dank earth. I ate my breakfast with pleasure and was about to remove a plank to procure myself a little water when I heard a step, and looking through a small chink, I beheld a young creature, with a pail on her head, passing…",15
Frankenstein.clean,1096,A,0.708738,0.06710793333333331,-0.0830578,0.01542546666666667,0.10788891453247434,0.04078098119914103,0.04078098119914103,"again feel myself somewhat at home, which I cannot do in your absence."" Having parted from my friend, I determined to visit some remote spot of Scotland and finish my work in solitude. I did not doubt but that the monster followed me and would discover himself to me when I should have finished, that he might receive his companion. With this resolution I traversed the northern highlands and fixed on one of the remotest of the Orkneys as the scene of my labours. It was a place fitted for such a work, being hardly more than a rock whose high sides were continually beaten upon by the waves.",1095,"seeing me bent on this plan, ceased to remonstrate. He entreated me to write often. ""I had rather be with you,"" he said, ""in your solitary rambles, than with these Scotch people, whom I do not know; hasten, then, my dear friend, to return, that I may again feel myself somewhat at home, which I cannot do in your…",1097,"when I should have finished, that he might receive his companion. With this resolution I traversed the northern highlands and fixed on one of the remotest of the Orkneys as the scene of my labours. It was a place fitted for such a work, being hardly more than a rock whose high sides were continually beaten upon by the…",15
Frankenstein.clean,1133,A,0.672269,-0.009840600000000007,0.031544133333333335,0.035741466666666666,-0.04867568382257773,0.03883508382257773,-0.03883508382257773,"its venom. Man, you shall repent of the injuries you inflict."" ""Devil, cease; and do not poison the air with these sounds of malice. I have declared my resolution to you, and I am no coward to bend beneath words. Leave me; I am inexorable."" ""It is well. I go; but remember, I shall be with you on your wedding-night."" I started forward and exclaimed, ""Villain! Before you sign my death-warrant, be sure that you are yourself safe."" I would have seized him, but he eluded me and quitted the house with precipitation. In a few moments I saw him in his boat, which shot across the waters with an arrowy swiftness and was soon lost amidst the waves.",1132,"my wretchedness? You can blast my other passions, but revenge remains—revenge, henceforth dearer than light or food! I may die, but first you, my tyrant and tormentor, shall curse the sun that gazes on your misery. Beware, for I am fearless and therefore powerful. I will watch with the wiliness of a snake, that I may…",1134,"wedding-night."" I started forward and exclaimed, ""Villain! Before you sign my death-warrant, be sure that you are yourself safe."" I would have seized him, but he eluded me and quitted the house with precipitation. In a few moments I saw him in his boat, which shot across the waters with an arrowy swiftness and was…",15
Frankenstein.clean,1454,D,0.674699,0.09454406666666665,-0.0023163333333333343,0.09748806666666666,0.13582293283678815,0.0412788661701215,0.0412788661701215,"his asseverations, however earnest and connected. Such a monster has, then, really existence! I cannot doubt it, yet I am lost in surprise and admiration. Sometimes I endeavoured to gain from Frankenstein the particulars of his creature's formation, but on this point he was impenetrable. ""Are you mad, my friend?"" said he. ""Or whither does your senseless curiosity lead you? Would you also create for yourself and the world a demoniacal enemy? Peace, peace! Learn my miseries and do not seek to increase your own.""",1453,"his persecutor. His tale is connected and told with an appearance of the simplest truth, yet I own to you that the letters of Felix and Safie, which he showed me, and the apparition of the monster seen from our ship, brought to me a greater conviction of the truth of his narrative than his asseverations, however…",1455,"Sometimes I endeavoured to gain from Frankenstein the particulars of his creature's formation, but on this point he was impenetrable. ""Are you mad, my friend?"" said he. ""Or whither does your senseless curiosity lead you? Would you also create for yourself and the world a demoniacal enemy? Peace, peace! Learn my…",15
Frankenstein.clean,1534,A,0.72,-0.004513266666666678,0.02559606666666666,0.022706133333333336,-0.03451226877155427,0.029999002104887592,-0.029999002104887592,"insatiable passion. And now it is ended; there is my last victim!"" I was at first touched by the expressions of his misery; yet, when I called to mind what Frankenstein had said of his powers of eloquence and persuasion, and when I again cast my eyes on the lifeless form of my friend, indignation was rekindled within me. ""Wretch!"" I said. ""It is well that you come here to whine over the desolation that you have made. You throw a torch into a pile of buildings, and when they are consumed, you sit among the ruins and lament the fall. Hypocritical fiend!",1533,"she died! Nay, then I was not miserable. I had cast off all feeling, subdued all anguish, to riot in the excess of my despair. Evil thenceforth became my good. Urged thus far, I had no choice but to adapt my nature to an element which I had willingly chosen. The completion of my demoniacal design became an insatiable…",1535,"again cast my eyes on the lifeless form of my friend, indignation was rekindled within me. ""Wretch!"" I said. ""It is well that you come here to whine over the desolation that you have made. You throw a torch into a pile of buildings, and when they are consumed, you sit among the ruins and lament the fall. Hypocritical…",15
Frankenstein.clean,1557,V,0.726415,0.004198888888888873,-0.0470068888888889,0.014865666666666673,0.049479958734401,0.04528106984551213,0.04528106984551213,"Blasted as thou wert, my agony was still superior to thine, for the bitter sting of remorse will not cease to rankle in my wounds until death shall close them for ever. ""But soon,"" he cried with sad and solemn enthusiasm, ""I shall die, and what I now feel be no longer felt. Soon these burning miseries will be extinct. I shall ascend my funeral pile triumphantly and exult in the agony of the torturing flames. The light of that conflagration will fade away; my ashes will be swept into the sea by the winds. My spirit will sleep in peace, or if it thinks, it will not surely think thus. Farewell.""",1556,"it would be better satiated in my life than in my destruction. But it was not so; thou didst seek my extinction, that I might not cause greater wretchedness; and if yet, in some mode unknown to me, thou hadst not ceased to think and feel, thou wouldst not desire against me a vengeance greater than that which I feel.…",1558,"felt. Soon these burning miseries will be extinct. I shall ascend my funeral pile triumphantly and exult in the agony of the torturing flames. The light of that conflagration will fade away; my ashes will be swept into the sea by the winds. My spirit will sleep in peace, or if it thinks, it will not surely think thus.…",15
