book,chunk_id,dom_dim,coverage,v_roll,a_roll,d_roll,vad_fused,diff_abs,diff_signed,text,prev_chunk_id,prev_text,next_chunk_id,next_text,roll_win
Pride and Prejudice.clean,307,A,0.673684,0.0957392,-0.10276536,0.00851928,0.14070995616617896,0.04497075616617896,0.04497075616617896,"or four miles, or five miles, or whatever it is, above her ancles in dirt, and alone, quite alone! what could she mean by it? It seems to me to show an abominable sort of conceited independence, a most country-town indifference to decorum."" ""It shows an affection for her sister that is very pleasing,"" said Bingley. ""I am afraid, Mr. Darcy,"" observed Miss Bingley, in a half whisper, ""that this adventure has rather affected your admiration of her fine eyes."" ""Not at all,"" he replied: ""they were brightened by the exercise."" A short pause followed this speech, and Mrs.",306,"observed it, Mr. Darcy, I am sure,"" said Miss Bingley; ""and I am inclined to think that you would not wish to see _your sister_ make such an exhibition."" ""Certainly not."" ""To walk three miles, or four miles, or five miles, or whatever it is, above her ancles in dirt, and alone, quite alone! what could she mean by it?…",308,"country-town indifference to decorum."" ""It shows an affection for her sister that is very pleasing,"" said Bingley. ""I am afraid, Mr. Darcy,"" observed Miss Bingley, in a half whisper, ""that this adventure has rather affected your admiration of her fine eyes."" ""Not at all,"" he replied: ""they were brightened by the…",25
Pride and Prejudice.clean,579,D,0.67,0.10728624,-0.0741872,0.07241004000000001,0.1491887791691426,0.041902539169142605,0.041902539169142605,"avoid seeing _me_ he must go. We are not on friendly terms, and it always gives me pain to meet him, but I have no reason for avoiding _him_ but what I might proclaim to all the world--a sense of very great ill-usage, and most painful regrets at his being what he is. His father, Miss Bennet, the late Mr. Darcy, was one of the best men that ever breathed, and the truest friend I ever had; and I can never be in company with this Mr. Darcy without being grieved to the soul by a thousand tender recollections.",578,"do not at all know; but I _heard_ nothing of his going away when I was at Netherfield. I hope your plans in favour of the ----shire will not be affected by his being in the neighbourhood."" ""Oh no--it is not for _me_ to be driven away by Mr. Darcy. If _he_ wishes to avoid seeing _me_ he must go. We are not on friendly…",580,"of very great ill-usage, and most painful regrets at his being what he is. His father, Miss Bennet, the late Mr. Darcy, was one of the best men that ever breathed, and the truest friend I ever had; and I can never be in company with this Mr. Darcy without being grieved to the soul by a thousand tender recollections.…",25
Pride and Prejudice.clean,1419,V,0.6875,0.06327611999999999,-0.06734356,0.05144464,0.10576187129801363,0.042485751298013644,0.042485751298013644,"had told his story to no one but herself; but that after their removal, it had been everywhere discussed; that he had then no reserves, no scruples in sinking Mr. Darcy's character, though he had assured her that respect for the father would always prevent his exposing the son. How differently did everything now appear in which he was concerned! His attentions to Miss King were now the consequence of views solely and hatefully mercenary; and the mediocrity of her fortune proved no longer the moderation of his wishes, but his eagerness to grasp at anything.",1418,"that _he_ should stand his ground; yet he had avoided the Netherfield ball the very next week. She remembered, also, that till the Netherfield family had quitted the country, he had told his story to no one but herself; but that after their removal, it had been everywhere discussed; that he had then no reserves, no…",1420,"her that respect for the father would always prevent his exposing the son. How differently did everything now appear in which he was concerned! His attentions to Miss King were now the consequence of views solely and hatefully mercenary; and the mediocrity of her fortune proved no longer the moderation of his wishes,…",25
Pride and Prejudice.clean,1521,V,0.740741,0.06738144,-0.08794115999999999,0.028782719999999998,0.11446550156801655,0.04708406156801655,0.04708406156801655,"to believe it all Mr. Darcy's, but you shall do as you choose."" It was some time, however, before a smile could be extorted from Jane. ""I do not know when I have been more shocked,"" said she. ""Wickham so very bad! It is almost past belief. And poor Mr. Darcy! dear Lizzy, only consider what he must have suffered. Such a disappointment! and with the knowledge of your ill opinion too! and having to relate such a thing of his sister! It is really too distressing, I am sure you must feel it so."" ""Oh no, my regret and compassion are all done away by seeing you so full of both.",1520,"anything. Take your choice, but you must be satisfied with only one. There is but such a quantity of merit between them; just enough to make one good sort of man; and of late it has been shifting about pretty much. For my part, I am inclined to believe it all Mr. Darcy's, but you shall do as you choose."" It was some…",1522,"Lizzy, only consider what he must have suffered. Such a disappointment! and with the knowledge of your ill opinion too! and having to relate such a thing of his sister! It is really too distressing, I am sure you must feel it so."" ""Oh no, my regret and compassion are all done away by seeing you so full of both. I know…",25
Pride and Prejudice.clean,1536,A,0.705882,0.08573180000000001,-0.08890848,0.04157287999999999,0.13031870049476707,0.04458690049476706,0.04458690049476706,"her for a fortnight, and was certain of a willing listener in Jane, whenever she might wish to talk again of either. But there was still something lurking behind, of which prudence forbade the disclosure. She dared not relate the other half of Mr. Darcy's letter, nor explain to her sister how sincerely she had been valued by his friend. Here was knowledge in which no one could partake; and she was sensible that nothing less than a perfect understanding between the parties could justify her in throwing off this last encumbrance of mystery. ""And then,"" said she, ""if that very improbable event should ever take place, I shall merely be able to tell what Bingley may tell in a much more agreeable manner himself.",1535,"by this conversation. She had got rid of two of the secrets which had weighed on her for a fortnight, and was certain of a willing listener in Jane, whenever she might wish to talk again of either. But there was still something lurking behind, of which prudence forbade the disclosure. She dared not relate the other…",1537,"no one could partake; and she was sensible that nothing less than a perfect understanding between the parties could justify her in throwing off this last encumbrance of mystery. ""And then,"" said she, ""if that very improbable event should ever take place, I shall merely be able to tell what Bingley may tell in a much…",25
Pride and Prejudice.clean,1558,V,0.652174,0.06672552,-0.08433544000000001,0.01788168,0.10901612696700613,0.042290606967006136,0.042290606967006136,"peevish. ""I cannot see why Mrs. Forster should not ask _me_ as well as Lydia,"" said she, ""though I am _not_ her particular friend. I have just as much right to be asked as she has, and more too, for I am two years older."" In vain did Elizabeth attempt to make her reasonable, and Jane to make her resigned. As for Elizabeth herself, this invitation was so far from exciting in her the same feelings as in her mother and Lydia, that she considered it as the death-warrant of all possibility of common sense for the latter; and detestable as such a step must make her, were it known, she could not help secretly advising her father not to let her go.",1557,"of Kitty, are scarcely to be described. Wholly inattentive to her sister's feelings, Lydia flew about the house in restless ecstasy, calling for everyone's congratulations, and laughing and talking with more violence than ever; whilst the luckless Kitty continued in the parlour repining at her fate in terms as…",1559,"herself, this invitation was so far from exciting in her the same feelings as in her mother and Lydia, that she considered it as the death-warrant of all possibility of common sense for the latter; and detestable as such a step must make her, were it known, she could not help secretly advising her father not to let…",25
Pride and Prejudice.clean,1632,A,0.745283,0.10445419999999998,-0.09663284000000001,0.03910988,0.14757428088159533,0.04312008088159534,0.04312008088159534,"the valley, into which the road with some abruptness wound. It was a large, handsome stone building, standing well on rising ground, and backed by a ridge of high woody hills; and in front a stream of some natural importance was swelled into greater, but without any artificial appearance. Its banks were neither formal nor falsely adorned. Elizabeth was delighted. She had never seen a place for which nature had done more, or where natural beauty had been so little counteracted by an awkward taste. They were all of them warm in their admiration; and at that moment she felt that to be mistress of Pemberley might be something!",1631,"conversation, but she saw and admired every remarkable spot and point of view. They gradually ascended for half a mile, and then found themselves at the top of a considerable eminence, where the wood ceased, and the eye was instantly caught by Pemberley House, situated on the opposite side of the valley, into which…",1633,"Its banks were neither formal nor falsely adorned. Elizabeth was delighted. She had never seen a place for which nature had done more, or where natural beauty had been so little counteracted by an awkward taste. They were all of them warm in their admiration; and at that moment she felt that to be mistress of…",25
Pride and Prejudice.clean,1844,V,0.725664,0.04106276,-0.07681692,0.00516332,0.08725622803288255,0.04619346803288255,0.04619346803288255,"am only distressed by some dreadful news which I have just received from Longbourn."" She burst into tears as she alluded to it, and for a few minutes could not speak another word. Darcy, in wretched suspense, could only say something indistinctly of his [Illustration: ""I have not an instant to lose"" ] concern, and observe her in compassionate silence. At length she spoke again. ""I have just had a letter from Jane, with such dreadful news. It cannot be concealed from anyone. My youngest sister has left all her friends--has eloped; has thrown herself into the power of--of Mr. Wickham. They are gone off together from Brighton. _You_ know him too well to doubt the rest.",1843,"Is there nothing you could take to give you present relief? A glass of wine; shall I get you one? You are very ill."" ""No, I thank you,"" she replied, endeavouring to recover herself. ""There is nothing the matter with me. I am quite well, I am only distressed by some dreadful news which I have just received from…",1845,"in compassionate silence. At length she spoke again. ""I have just had a letter from Jane, with such dreadful news. It cannot be concealed from anyone. My youngest sister has left all her friends--has eloped; has thrown herself into the power of--of Mr. Wickham. They are gone off together from Brighton. _You_ know him…",25
Pride and Prejudice.clean,2166,A,0.816,0.11154688,-0.08956768,0.05866160000000001,0.15461649023592794,0.04306961023592794,0.04306961023592794,"one. Nothing was to be done that he did not do himself; though I am sure (and I do not speak it to be thanked, therefore say nothing about it) your uncle would most readily have settled the whole. They battled it together for a long time, which was more than either the gentleman or lady concerned in it deserved. But at last your uncle was forced to yield, and instead of being allowed to be of use to his niece, was forced to put up with only having the probable credit of it, which went sorely against the grain; and I really believe your letter this morning gave him great pleasure, because it required an explanation that would rob him of his borrowed feathers, and give the praise where it was due.",2165,"then _I_ saw him too. It was not all settled before Monday: as soon as it was, the express was sent off to Longbourn. But our visitor was very obstinate. I fancy, Lizzy, that obstinacy is the real defect of his character, after all. He has been accused of many faults at different times; but _this_ is the true one.…",2167,"allowed to be of use to his niece, was forced to put up with only having the probable credit of it, which went sorely against the grain; and I really believe your letter this morning gave him great pleasure, because it required an explanation that would rob him of his borrowed feathers, and give the praise where it…",25
Pride and Prejudice.clean,2373,A,0.707965,0.10767460000000001,-0.08388704000000001,0.061682959999999995,0.1497853214419998,0.04211072144199979,0.04211072144199979,"It was the favourite wish of _his_ mother, as well as of hers. While in their cradles we planned the union; and now, at the moment when the wishes of both sisters would be accomplished, is their marriage to be prevented by a young woman of inferior birth, of no importance in the world, and wholly unallied to the family? Do you pay no regard to the wishes of his friends--to his tacit engagement with Miss de Bourgh? Are you lost to every feeling of propriety and delicacy? Have you not heard me say, that from his earliest hours he was destined for his cousin?"" ""Yes; and I had heard it before. But what is that to me?",2372,"this,--that if he is so, you can have no reason to suppose he will make an offer to me."" Lady Catherine hesitated for a moment, and then replied,-- ""The engagement between them is of a peculiar kind. From their infancy, they have been intended for each other. It was the favourite wish of _his_ mother, as well as of…",2374,"the family? Do you pay no regard to the wishes of his friends--to his tacit engagement with Miss de Bourgh? Are you lost to every feeling of propriety and delicacy? Have you not heard me say, that from his earliest hours he was destined for his cousin?"" ""Yes; and I had heard it before. But what is that to me? If there…",25
