book,chunk_id,text,v,a,d,n_tokens,n_hits,coverage,valence_only,v01,a01,d01
Romeo and Juliet.clean,0,"ACT I Scene I. A public place. Scene II. A Street. Scene III. Room in Capulet's House. Scene IV. A Street. Scene V. A Hall in Capulet's House. ACT II CHORUS. Scene I. An open place adjoining Capulet's Garden. Scene II. Capulet's Garden. Scene III. Friar Lawrence's Cell. Scene IV. A Street. Scene V. Capulet's Garden. Scene VI. Friar Lawrence's Cell. ACT III Scene I. A public Place. Scene II. A Room in Capulet's House. Scene III. Friar Lawrence's cell. Scene IV. A Room in Capulet's House. Scene V. An open Gallery to Juliet's Chamber, overlooking the Garden. ACT IV Scene I. Friar Lawrence's Cell. Scene II. Hall in Capulet's House. Scene III. Juliet's Chamber. Scene IV.",0.166226,-0.295935,0.074355,114,62,0.54386,0.166226,0.583113,0.35203249999999997,0.5371775
Romeo and Juliet.clean,1,"VI. Friar Lawrence's Cell. ACT III Scene I. A public Place. Scene II. A Room in Capulet's House. Scene III. Friar Lawrence's cell. Scene IV. A Room in Capulet's House. Scene V. An open Gallery to Juliet's Chamber, overlooking the Garden. ACT IV Scene I. Friar Lawrence's Cell. Scene II. Hall in Capulet's House. Scene III. Juliet's Chamber. Scene IV. Hall in Capulet's House. Scene V. Juliet's Chamber; Juliet on the bed. ACT V Scene I. Mantua. A Street. Scene II. Friar Lawrence's Cell. Scene III. A churchyard; in it a Monument belonging to the Capulets. Dramatis Personæ ESCALUS, Prince of Verona. MERCUTIO, kinsman to the Prince, and friend to Romeo. PARIS, a young Nobleman, kinsman to the Prince.",0.186459,-0.256525,0.11018,117,61,0.521368,0.186459,0.5932295,0.3717375,0.55509
Romeo and Juliet.clean,2,"IV. Hall in Capulet's House. Scene V. Juliet's Chamber; Juliet on the bed. ACT V Scene I. Mantua. A Street. Scene II. Friar Lawrence's Cell. Scene III. A churchyard; in it a Monument belonging to the Capulets. Dramatis Personæ ESCALUS, Prince of Verona. MERCUTIO, kinsman to the Prince, and friend to Romeo. PARIS, a young Nobleman, kinsman to the Prince. Page to Paris. MONTAGUE, head of a Veronese family at feud with the Capulets. LADY MONTAGUE, wife to Montague. ROMEO, son to Montague. BENVOLIO, nephew to Montague, and friend to Romeo. ABRAM, servant to Montague. BALTHASAR, servant to Romeo. CAPULET, head of a Veronese family at feud with the Montagues. LADY CAPULET, wife to Capulet. JULIET, daughter to Capulet.",0.195841,-0.127683,0.045127,117,63,0.538462,0.195841,0.5979205,0.4361585,0.5225635
Romeo and Juliet.clean,3,"Prince. Page to Paris. MONTAGUE, head of a Veronese family at feud with the Capulets. LADY MONTAGUE, wife to Montague. ROMEO, son to Montague. BENVOLIO, nephew to Montague, and friend to Romeo. ABRAM, servant to Montague. BALTHASAR, servant to Romeo. CAPULET, head of a Veronese family at feud with the Montagues. LADY CAPULET, wife to Capulet. JULIET, daughter to Capulet. TYBALT, nephew to Lady Capulet. CAPULET'S COUSIN, an old man. NURSE to Juliet. PETER, servant to Juliet's Nurse. SAMPSON, servant to Capulet. GREGORY, servant to Capulet. Servants. FRIAR LAWRENCE, a Franciscan. FRIAR JOHN, of the same Order. An Apothecary. CHORUS. Three Musicians. An Officer. Citizens of Verona; several Men and Women, relations to both houses; Maskers, Guards, Watchmen and Attendants.",0.139657,-0.075866,0.004985,116,67,0.577586,0.139657,0.5698285,0.462067,0.5024925
Romeo and Juliet.clean,4,"TYBALT, nephew to Lady Capulet. CAPULET'S COUSIN, an old man. NURSE to Juliet. PETER, servant to Juliet's Nurse. SAMPSON, servant to Capulet. GREGORY, servant to Capulet. Servants. FRIAR LAWRENCE, a Franciscan. FRIAR JOHN, of the same Order. An Apothecary. CHORUS. Three Musicians. An Officer. Citizens of Verona; several Men and Women, relations to both houses; Maskers, Guards, Watchmen and Attendants. SCENE. During the greater part of the Play in Verona; once, in the Fifth Act, at Mantua. THE PROLOGUE Enter Chorus. CHORUS. Two households, both alike in dignity, In fair Verona, where we lay our scene, From ancient grudge break to new mutiny, Where civil blood makes civil hands unclean.",0.084618,-0.100412,0.030809,106,68,0.641509,0.084618,0.542309,0.449794,0.5154045
Romeo and Juliet.clean,5,"Women, relations to both houses; Maskers, Guards, Watchmen and Attendants. SCENE. During the greater part of the Play in Verona; once, in the Fifth Act, at Mantua. THE PROLOGUE Enter Chorus. CHORUS. Two households, both alike in dignity, In fair Verona, where we lay our scene, From ancient grudge break to new mutiny, Where civil blood makes civil hands unclean. From forth the fatal loins of these two foes A pair of star-cross'd lovers take their life; Whose misadventur'd piteous overthrows Doth with their death bury their parents' strife.",0.030361,-0.022607,0.015475,87,61,0.701149,0.030361,0.5151805,0.4886965,0.5077375
Romeo and Juliet.clean,6,"Enter Chorus. CHORUS. Two households, both alike in dignity, In fair Verona, where we lay our scene, From ancient grudge break to new mutiny, Where civil blood makes civil hands unclean. From forth the fatal loins of these two foes A pair of star-cross'd lovers take their life; Whose misadventur'd piteous overthrows Doth with their death bury their parents' strife. The fearful passage of their death-mark'd love, And the continuance of their parents' rage, Which, but their children's end, nought could remove, Is now the two hours' traffic of our stage; The which, if you with patient ears attend, What here shall miss, our toil shall strive to mend. [_Exit._] ACT I SCENE I. A public place.",-0.006582,-0.045978,-0.012077,118,91,0.771186,-0.006582,0.496709,0.477011,0.4939615
Romeo and Juliet.clean,7,"their parents' strife. The fearful passage of their death-mark'd love, And the continuance of their parents' rage, Which, but their children's end, nought could remove, Is now the two hours' traffic of our stage; The which, if you with patient ears attend, What here shall miss, our toil shall strive to mend. [_Exit._] ACT I SCENE I. A public place. Enter Sampson and Gregory armed with swords and bucklers. SAMPSON. Gregory, on my word, we'll not carry coals. GREGORY. No, for then we should be colliers. SAMPSON. I mean, if we be in choler, we'll draw. GREGORY. Ay, while you live, draw your neck out o' the collar. SAMPSON. I strike quickly, being moved. GREGORY.",0.02225,-0.003711,0.023513,114,76,0.666667,0.02225,0.511125,0.4981445,0.5117565
Romeo and Juliet.clean,8,"SCENE I. A public place. Enter Sampson and Gregory armed with swords and bucklers. SAMPSON. Gregory, on my word, we'll not carry coals. GREGORY. No, for then we should be colliers. SAMPSON. I mean, if we be in choler, we'll draw. GREGORY. Ay, while you live, draw your neck out o' the collar. SAMPSON. I strike quickly, being moved. GREGORY. But thou art not quickly moved to strike. SAMPSON. A dog of the house of Montague moves me. GREGORY. To move is to stir; and to be valiant is to stand: therefore, if thou art moved, thou runn'st away. SAMPSON. A dog of that house shall move me to stand.",0.084676,0.001691,0.035191,106,68,0.641509,0.084676,0.542338,0.5008455,0.5175955
Romeo and Juliet.clean,9,"o' the collar. SAMPSON. I strike quickly, being moved. GREGORY. But thou art not quickly moved to strike. SAMPSON. A dog of the house of Montague moves me. GREGORY. To move is to stir; and to be valiant is to stand: therefore, if thou art moved, thou runn'st away. SAMPSON. A dog of that house shall move me to stand. I will take the wall of any man or maid of Montague's. GREGORY. That shows thee a weak slave, for the weakest goes to the wall. SAMPSON. True, and therefore women, being the weaker vessels, are ever thrust to the wall: therefore I will push Montague's men from the wall, and thrust his maids to the wall. GREGORY.",0.037297,-0.01573,-0.015014,116,74,0.637931,0.037297,0.5186485,0.492135,0.492493
